Enterprise;Domain;Name;Surname;DisplayName;DisplaySurname;DisplayNameSurname;Login;Full-Login;Path;Group;PSNewADUserEquiv
iSEC-Group;isec-group.local;oliver;komski;Oliver;KOMSKI;Oliver KOMSKI;oliver.komski;oliver.komski@isec-group.local;OU=Direction,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local;GRP-GRP-SEC-GLO-DIRECTION-ALL;New-ADUser -Name 'Oliver KOMSKI' -GivenName 'oliver' -Surname  'komski'  -SamAccountName 'oliver.komski'  -UserPrincipalName 'oliver.komski@isec-group.local'  -AccountPassword (ConvertTo-SecureString 'P@ssw0rd!' -AsPlainText -Force) -Enabled $true -ProfilePath '\\S-GRP-AD01.isec-group.local\RoamingProfiles\%username%' -EmailAddress 'oliver.komski@isec-group.local' -Path 'OU=Direction,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local' -ErrorAction Stop
iSEC-Group;isec-group.local;daphne;meynot;Daphne;MEYNOT;Daphne MEYNOT;daphne.meynot;daphne.meynot@isec-group.local;OU=Direction,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local;GRP-GRP-SEC-GLO-DIRECTION-ALL;New-ADUser -Name 'Daphne MEYNOT' -GivenName 'daphne' -Surname  'meynot'  -SamAccountName 'daphne.meynot'  -UserPrincipalName 'daphne.meynot@isec-group.local'  -AccountPassword (ConvertTo-SecureString 'P@ssw0rd!' -AsPlainText -Force) -Enabled $true -ProfilePath '\\S-GRP-AD01.isec-group.local\RoamingProfiles\%username%' -EmailAddress 'daphne.meynot@isec-group.local' -Path 'OU=Direction,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local' -ErrorAction Stop
iSEC-Group;isec-group.local;julie;bertali;Julie;BERTALI;Julie BERTALI;julie.bertali;julie.bertali@isec-group.local;OU=Business,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local;GRP-GRP-SEC-GLO-BUSINESS-ALL;New-ADUser -Name 'Julie BERTALI' -GivenName 'julie' -Surname  'bertali'  -SamAccountName 'julie.bertali'  -UserPrincipalName 'julie.bertali@isec-group.local'  -AccountPassword (ConvertTo-SecureString 'P@ssw0rd!' -AsPlainText -Force) -Enabled $true -ProfilePath '\\S-GRP-AD01.isec-group.local\RoamingProfiles\%username%' -EmailAddress 'julie.bertali@isec-group.local' -Path 'OU=Business,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local' -ErrorAction Stop
iSEC-Group;isec-group.local;yves;tyrael;Yves;TYRAEL;Yves TYRAEL;yves.tyrael;yves.tyrael@isec-group.local;OU=Business,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local;GRP-GRP-SEC-GLO-BUSINESS-ALL;New-ADUser -Name 'Yves TYRAEL' -GivenName 'yves' -Surname  'tyrael'  -SamAccountName 'yves.tyrael'  -UserPrincipalName 'yves.tyrael@isec-group.local'  -AccountPassword (ConvertTo-SecureString 'P@ssw0rd!' -AsPlainText -Force) -Enabled $true -ProfilePath '\\S-GRP-AD01.isec-group.local\RoamingProfiles\%username%' -EmailAddress 'yves.tyrael@isec-group.local' -Path 'OU=Business,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local' -ErrorAction Stop
iSEC-Group;isec-group.local;paolo;nolan;Paolo;NOLAN;Paolo NOLAN;paolo.nolan;paolo.nolan@isec-group.local;OU=Business,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local;GRP-GRP-SEC-GLO-BUSINESS-ALL;New-ADUser -Name 'Paolo NOLAN' -GivenName 'paolo' -Surname  'nolan'  -SamAccountName 'paolo.nolan'  -UserPrincipalName 'paolo.nolan@isec-group.local'  -AccountPassword (ConvertTo-SecureString 'P@ssw0rd!' -AsPlainText -Force) -Enabled $true -ProfilePath '\\S-GRP-AD01.isec-group.local\RoamingProfiles\%username%' -EmailAddress 'paolo.nolan@isec-group.local' -Path 'OU=Business,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local' -ErrorAction Stop
iSEC-Group;isec-group.local;olivier;rousseaux;Olivier;ROUSSEAUX;Olivier ROUSSEAUX;olivier.rousseaux;olivier.rousseaux@isec-group.local;OU=Business,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local;GRP-GRP-SEC-GLO-BUSINESS-ALL;New-ADUser -Name 'Olivier ROUSSEAUX' -GivenName 'olivier' -Surname  'rousseaux'  -SamAccountName 'olivier.rousseaux'  -UserPrincipalName 'olivier.rousseaux@isec-group.local'  -AccountPassword (ConvertTo-SecureString 'P@ssw0rd!' -AsPlainText -Force) -Enabled $true -ProfilePath '\\S-GRP-AD01.isec-group.local\RoamingProfiles\%username%' -EmailAddress 'olivier.rousseaux@isec-group.local' -Path 'OU=Business,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local' -ErrorAction Stop
iSEC-Group;isec-group.local;pedro;aubergier;Pedro;AUBERGIER;Pedro AUBERGIER;pedro.aubergier;pedro.aubergier@isec-group.local;OU=Communication,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local;GRP-GRP-SEC-GLO-COMMUNICATION-ALL;New-ADUser -Name 'Pedro AUBERGIER' -GivenName 'pedro' -Surname  'aubergier'  -SamAccountName 'pedro.aubergier'  -UserPrincipalName 'pedro.aubergier@isec-group.local'  -AccountPassword (ConvertTo-SecureString 'P@ssw0rd!' -AsPlainText -Force) -Enabled $true -ProfilePath '\\S-GRP-AD01.isec-group.local\RoamingProfiles\%username%' -EmailAddress 'pedro.aubergier@isec-group.local' -Path 'OU=Communication,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local' -ErrorAction Stop
iSEC-Group;isec-group.local;ludwig;corret;Ludwig;CORRET;Ludwig CORRET;ludwig.corret;ludwig.corret@isec-group.local;OU=Communication,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local;GRP-GRP-SEC-GLO-COMMUNICATION-ALL;New-ADUser -Name 'Ludwig CORRET' -GivenName 'ludwig' -Surname  'corret'  -SamAccountName 'ludwig.corret'  -UserPrincipalName 'ludwig.corret@isec-group.local'  -AccountPassword (ConvertTo-SecureString 'P@ssw0rd!' -AsPlainText -Force) -Enabled $true -ProfilePath '\\S-GRP-AD01.isec-group.local\RoamingProfiles\%username%' -EmailAddress 'ludwig.corret@isec-group.local' -Path 'OU=Communication,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local' -ErrorAction Stop
iSEC-Group;isec-group.local;herve;leleu;Herve;LELEU;Herve LELEU;herve.leleu;herve.leleu@isec-group.local;OU=Communication,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local;GRP-GRP-SEC-GLO-COMMUNICATION-ALL;New-ADUser -Name 'Herve LELEU' -GivenName 'herve' -Surname  'leleu'  -SamAccountName 'herve.leleu'  -UserPrincipalName 'herve.leleu@isec-group.local'  -AccountPassword (ConvertTo-SecureString 'P@ssw0rd!' -AsPlainText -Force) -Enabled $true -ProfilePath '\\S-GRP-AD01.isec-group.local\RoamingProfiles\%username%' -EmailAddress 'herve.leleu@isec-group.local' -Path 'OU=Communication,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local' -ErrorAction Stop
iSEC-Group;isec-group.local;philippe;marie;Philippe;MARIE;Philippe MARIE;philippe.marie;philippe.marie@isec-group.local;OU=ADFI,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local;GRP-GRP-SEC-GLO-ADFI-ALL;New-ADUser -Name 'Philippe MARIE' -GivenName 'philippe' -Surname  'marie'  -SamAccountName 'philippe.marie'  -UserPrincipalName 'philippe.marie@isec-group.local'  -AccountPassword (ConvertTo-SecureString 'P@ssw0rd!' -AsPlainText -Force) -Enabled $true -ProfilePath '\\S-GRP-AD01.isec-group.local\RoamingProfiles\%username%' -EmailAddress 'philippe.marie@isec-group.local' -Path 'OU=ADFI,OU=Service,OU=ISEC-Group,OU=Global,DC=isec-group,DC=local' -ErrorAction Stop
