Group;Domain;Name;Surname;DisplayName;DisplaySurname;DisplayNameSurname;Login;Full-Login;Path;Group
iSEC-Telecom;isec-telecom.local;olivier;rousseaux;Olivier;ROUSSEAUX;Olivier ROUSSEAUX;olivier.rousseaux;olivier.rousseaux@isec-telecom.local;OU=Direction,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-DIRECTION-HEAD
iSEC-Telecom;isec-telecom.local;lucie;detritch;Lucie;DETRITCH;Lucie DETRITCH;lucie.detritch;lucie.detritch@isec-telecom.local;OU=Direction,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-DIRECTION-ASSISTANT
iSEC-Telecom;isec-telecom.local;lionel;gabru;Lionel;GABRU;Lionel GABRU;lionel.gabru;lionel.gabru@isec-telecom.local;OU=Technical,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-TECH-HEAD
iSEC-Telecom;isec-telecom.local;france;ballet;France;BALLET;France BALLET;france.ballet;france.ballet@isec-telecom.local;OU=Technical,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-TECH-NETOPS
iSEC-Telecom;isec-telecom.local;paul;lemarie;Paul;LEMARIE;Paul LEMARIE;paul.lemarie;paul.lemarie@isec-telecom.local;OU=Technical,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-TECH-TECHNICIAN
iSEC-Telecom;isec-telecom.local;hugues;vanchez;Hugues;VANCHEZ;Hugues VANCHEZ;hugues.vanchez;hugues.vanchez@isec-telecom.local;OU=Technical,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-TECH-SUPPORT
iSEC-Telecom;isec-telecom.local;luc;dupre;Luc;DUPRE;Luc DUPRE;luc.dupre;luc.dupre@isec-telecom.local;OU=Commercial,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-COMMERCIAL-HEAD
iSEC-Telecom;isec-telecom.local;jean;tremis;Jean;TREMIS;Jean TREMIS;jean.tremis;jean.tremis@isec-telecom.local;OU=Commercial,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-COMMERCIAL-COMMERCIAL
iSEC-Telecom;isec-telecom.local;gregoire;jolet;Gregoire;JOLET;Gregoire JOLET;gregoire.jolet;gregoire.jolet@isec-telecom.local;OU=Commercial,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-COMMERCIAL-COMMUNICATION
iSEC-Telecom;isec-telecom.local;olivia;gabriel;Olivia;GABRIEL;Olivia GABRIEL;olivia.gabriel;olivia.gabriel@isec-telecom.local;OU=ADFI,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-ADFI-HEAD
iSEC-Telecom;isec-telecom.local;joel;didier;Joel;DIDIER;Joel DIDIER;joel.didier;joel.didier@isec-telecom.local;OU=ADFI,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-ADFI-IT
iSEC-Telecom;isec-telecom.local;louis;marjolet;Louis;MARJOLET;Louis MARJOLET;louis.marjolet;louis.marjolet@isec-telecom.local;OU=ADFI,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-ADFI-IT
iSEC-Telecom;isec-telecom.local;charles;agostini;Charles;AGOSTINI;Charles AGOSTINI;charles.agostini;charles.agostini@isec-telecom.local;OU=ADFI,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-ADFI-IT
iSEC-Telecom;isec-telecom.local;vicente;vaz;Vicente;VAZ;Vicente VAZ;vicente.vaz;vicente.vaz@isec-telecom.local;OU=ADFI,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-ADFI-IT
iSEC-Telecom;isec-telecom.local;hélène;mingea;Hélène;MINGEA;Hélène MINGEA;hélène.mingea;hélène.mingea@isec-telecom.local;OU=ADFI,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-ADFI-ACCOUNTING
iSEC-Telecom;isec-telecom.local;daniele;troc;Daniele;TROC;Daniele TROC;daniele.troc;daniele.troc@isec-telecom.local;OU=ADFI,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-ADFI-SECRETARY
iSEC-Telecom;isec-telecom.local;bastien;pal;Bastien;PAL;Bastien PAL;bastien.pal;bastien.pal@isec-telecom.local;OU=RH,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-HR-HEAD
iSEC-Telecom;isec-telecom.local;nora;busquet;Nora;BUSQUET;Nora BUSQUET;nora.busquet;nora.busquet@isec-telecom.local;OU=RH,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-HR-PAIE
